Question,Answer
"ON THE MENU: I'll take a ""G"", Pat & solve the puzzle... it's an Italian dish of tiny dumplings made from potatoes or flour",gnocchi
"Bernardo O'Higgins is called ""The Liberator"" of this long nation & also founded its navy",Chile
"In 1914, this Keystone Studios head was the last person other than Chaplin to direct him in a film",(Mack) Sennett
"One of the 2 state capitals whose names end with the letter ""U""","(1 of 2) Juneau, Alaska or Honolulu, Hawaii"
"(Hi, I'm Greg Proops.) I once performed my own version of this 1939 film for Radio Scotland; I played all the parts, even the winged monkeys",The Wizard of Oz
In this 1939 classic William Holden played a gifted violinist who took up boxing to further his musical career,Golden Boy
Mahicans lived along the Hudson; Mohegans lived in Connecticut; Mohicans were created by this author,James Fenimore Cooper
An expressway with tollgates,a turnpike
"If in Norway on July 18, don't inquire if it's a national holiday due to the birth of this traitor in 1887",(Vidkund) Quisling
"(<a href=""http://www.j-archive.com/media/2010-03-22_DJ_20.wmv"">Sarah of the Clue Crew shows a map on the monitor.</a>)  South America & Africa fit together like puzzle pieces; this theory says they were connected 200 million years ago & have been moving away from each other up to 4 inches a year",plate tectonics
This composer appears on the reverse of Austria's 1-Euro coin,Mozart
Lisa Loring played this creepy girl on TV in the '60s,Wednesday (Addams)
"...with this energy source, a colorless hydrocarbon consisting primarily of methane & ethane",natural gas
"His ""You furnish the pictures & I'll furnish the war"" line to Remington seems to be more fiction than fact",William Randolph Hearst
"""Mother died today"" is the first line of this Camus novel",L'Etranger or The Stranger
"The wild horned aoudad, or Barbary sheep, lives in the Aures & these northern African mountains",the Atlas Mountains
Think the queen is trying to kill you?  Delusions of persecution. Think you are the queen? Delusions of this,grandeur
Southern belle whose sisters were Suellen & Carreen,Scarlett O'Hara
"Japan had an emperor, Russia, a czar & Italy was ruled by one of these",king
Zeppelins were named for Count Ferdinand von Zeppelin of this country,Germany
"This armed service's Michie Stadium was named for infantryman Dennis Michie, who coached its first football team",Army
It's the only territory that Brazil borders that is an overseas region of a European nation,French Guiana
"""By George"" is an appropriate title for this boxer's 1995 autobiography",George Foreman
In 1935 he was appointed director of the National Youth Administration in Texas,Lyndon Johnson
He's first in order of succession to the British throne,Prince Charles
"Being spineless, jellyfish are members of this ""no bones about 'em"" animal group",invertebrates
"(<a href=""http://www.j-archive.com/media/2011-10-25_J_27.wmv"">Kelly of the Clue Crew shows a diagram of car brakes on the monitor.</a>) If your brakes squeal, it may indicate that these parts the engage the rotors are wearing thin & should be replaced",the brake pads
"Of the 4 principal directions on a sailing ship, the one that's also a potent potable",port
"DNA evidence suggests American vultures are closely related to these long-legged birds, family Ciconiidae",storks
"The Errol Flynn western named for this Kansas town inspired the plot of Mel Brooks' ""Blazing Saddles""",Dodge City
A malum is one of these & it may be of your oculus,"Apple (""Apple of your eye"")"
Anti-war protests at the 1968 Democratic Convention in this city led to a bloody police crackdown,Chicago
"Casement, bow & double-hung are these",windows
"Alphabetically, it's first among the Balkan countries",Albania
"The poodle probably originated in Germany, though it's most associated with this country",France
The Helots were the unfree peasants of this militaristic city-state,Sparta
A famous British address: N 10 D S,Number 10 Downing Street
1982: Steve Martin innovatively interacts with clips from classic film noir movies,Dead Men Don't Wear Plaid
"Natasha Richardson, Molly Ringwald & Brooke Shields each played this role in ""Cabaret"" on Broadway",Sally Bowles
"John Denver's 2-word description of West Virginia in the 1st line of ""Take Me Home, Country Roads""",Almost Heaven
"A ""Swift"" read at about 300 pages, this 1726 novel sets sail to Laputa & Lilliput","""Gulliver's Travels"""
Prince Henry the Navigator's tomb is in the church of Santa Maria da Vitoria in Batalha in this country,Portugal
The Pushkin Museum of Fine Arts,Moscow
"Founded in 1919, this Houston-based government contractor sure seems to be in the news a lot lately",Halliburton
"In a difficult situation George Dewey would ask himself, what would this man, his former commander, do?",Admiral David Farragut
You might hear these on your way to Grandmother's house for the holidays,sleigh bells
The Maid of the Mist is a fixture at this natural wonder located about 20 miles north of Buffalo,Niagara Falls
Des Moines plus Walla Walla,IoWashington
"St. Ambrose said, ""If you are at"" this city ""live in (its) style:...elsewhere live as they live elsewhere""",Rome
"(<a href=""http://www.j-archive.com/media/2005-07-12_DJ_17.jpg"" target=""_blank"">Sarah of the Clue Crew reports from a kitchen in Greece.</a>) To make baklava, you'll need some of these tissue-thin layers of pastry dough, whose name is from the Greek for ""leaf""",phyllo
Peter Parker spins a web of intrigue & help Denzel Washington protect Dakota Fanning,Spider-Man on Fire
In 1861 this social reformer was appointed Union Superintendent of Nurses at age 59,Dorothea Dix
"This Englishman painted a ""Girl with Pigs"" as well as ""The Blue Boy""",Thomas Gainsborough
"Montana journalist Dorothy M. Johnson wrote the later-filmed story ""The Man Who Shot"" him",Liberty Valance
Americans refer to Emmentaler as this,Swiss cheese
June 13: Prime Minister Delyannis of this Mediterranean country is assassinated,Greece
In Super Bowl XXXIII this Bronco won his first MVP award in the last year of his 16-year career,John Elway
"This cowboy humorist is buried at a shrine in Claremore, near his birthplace",Will Rogers
"(<a href=""http://www.j-archive.com/media/2010-09-30_J_02.jpg"" target=""_blank"">Oprah reads the clue from a chair.</a>)  An aha! moment is grasping something for the first time--I could see it in this former ""Growing Pains"" actress when she realized her drunk driving arrest was a sign she needed to listen to her instincts",Tracey Gold
In 1984 Philip Michael Thomas began playing Ricardo Tubbs on this TV show,Miami Vice
English cliff site,Dover
"French for ""sour wine"", one variety is literally just that",vinegar
Hmm -- the National Pawn Shop in this city was built on the site of the palace where Montezuma was killed,Mexico City
"In 1882 Lawyer Samuel Dodd found that to control companies in several states, Standard Oil could form these",monopolies (or trusts)
"""Encyclopedia Americana"" says this guide of Lewis and Clark lived to about one hundred while the ""Britannica"" says she died at twenty-six",Sacajawea (Bird Woman)
You'll feel like a diplomat when you eat in the delegates' dining room in this international organization's HQ,United Nations
The pari-mutuel system lets you do it legally,bet on horses
"The University of Sunderland, the University of Sheffield, Oxford University",England
It's the official language of Oman,Arabic
A clothing store mannequin probably inspired this 2-word phrase for a pompous person,a stuffed shirt
"This southern city's convention center is named for Ernest Morial, the city's first African-American mayor",New Orleans
These sour wild apples are usually less than 2 inches in diameter,crabapples
"This subatomic particle, which has no electric charge, consists of a quark & an antiquark",psi particle
"After retiring from tennis, he wrote ""A Hard Road to Glory"", a study of African-American athletes",Arthur Ashe
"In 2002, at age 12, she became the youngest golfer ever to qualify for an LPGA event",Michelle Wie
"It's the profession at the center of ""Mercy"" and ""HawthoRNe""",nursing
"In a 1977 film, Diane Keaton was ""Looking For"" him",Mr. Goodbar
"The wine tab for this Virginian president for one year in office was $7,597",(Thomas) Jefferson
In 1990 Belarusian replaced this as the official language of Belarus,Russian
"Play title that completes the line ""Sure, he was my son.  But I think to him they were...""","""All My Sons"""
There are 3 teaspoons in this unit of measure,tablespoon
In June 1990 Alberto Fujimori was elected president of this South American country,Peru
"Banned by Ataturk for political reasons, this hat with a 3-letter name was once the national hat of Turkish men",a fez
This telegraph pioneer introduced Mathew Brady to photography in the 1840s,Samuel Morse
"In the back of a geometry book, you may find these lists of trigonometric ratios or square roots",Tables
The North Room at Sagamore Hill estate displays this president's Rough Rider hat,Teddy Roosevelt
"Say the name of this legend with whom Jackson recorded the No. 1 hit ""Say Say Say""",Paul McCartney
The Cleopatra's Barge nightclub has a swaying dance floor that really rocks this Roman-themed Vegas casino,Caesar's Palace
"The Kelvin is the base unit for this, though most people use degrees",Temperature
"Suicidal soldier sees Sioux, sights stampede",Dances with Wolves
"This tobacco-related line beginning with ""sometimes"" is attributed to Sigmund Freud","""Sometimes a cigar is just a cigar"""
"In this 1930 film Marlene Dietrich played Lola-Lola, a sultry cabaret singer","""The Blue Angel"""
"History: Study up on this ship that anchored in Plymouth Harbor on Dec. 26, 1620",the Mayflower
"This Akron-based company got rolling in 1898, making bicycle & carriage tires, horseshoe pads, & yes, poker chips",Goodyear
It's the 4-letter Spanish equivalent of creme caramel,flan
"Despite his name, this worker in a steam locomotive doesn't douse flames, he stokes them in the boiler",the fireman
It was originally called bib-label lithiated lemon-lime soda,7-UP
"If you're in this Scandinavian country in July, don't miss the ever-popular ""St. Olav Play"" in Stiklestad",Norway
Thomas Malory's posthumous 1485 bestseller inspired this first name of a prince born in 1486,Arthur
"This poet ""heard a fly buzz--when I died"", ""with blue--uncertain stumbling buzz--between the light--and me--""",Emily Dickinson
"Byzantine Museum, Acropolis Museum",Athens
1967: Charles Bronson & Jim Brown are 2 of the 12 angry men on a secret mission behind Nazi lines,The Dirty Dozen
"In February 1949 this actor originated the role of Willy Loman in ""Death of a Salesman""",Lee J. Cobb
"This author can be seen as a beer-guzzling spectator in ""Knightriders"" & a truck driver in ""Creepshow 2""",Stephen King
"From 930-1262, this country's Althing served as both court & legislature",Iceland
Plants absorb its isotope 90 generated by nuclear fallout,strontium
Navy lawyer Lt. Daniel Kaffee,A Few Good Men
"(<a href=""http://www.j-archive.com/media/2009-10-06_DJ_23.wmv"">Sarah of the Clue Crew presses her palm to a scanner plate at a museum exhibit at Microsoft Research in Redmond, WA.</a>)  Futuristic research going on here on the Microsoft campus includes unlocking doors with this method, based on your physical characteristics, from the Greek for ""life"" & ""measure""",biometrics
"""Satanic"" mammal found only on island S. of Australia",Tasmanian devil
King Bhumibol Adulyadej,Thailand
"In Frank Herbert titles, this word follows ""Children of"", ""Heretics of"" & ""God Emperor of""","""Dune"""
"14: 16 says, ""And the children of Israel shall go on dry ground through the midst of the sea"" --this one",the Red Sea
"In the 2004 presidential campaign, this candidate's wife promoted eating rabbit; with ketchup?",John Kerry
They were ancient even before the other 6 wonders were built,Pyramids
"Business for these sunglasses wasn't risky after Tom Cruise wore them in ""Risky Business""",Ray-Ban
"The World-Herald, est. 1885",Omaha
"At one point, this largest island in the world is only about 10 miles from Canada",Greenland
State tree: Black Hills Spruce,South Dakota
"The Lord told him, ""Come thou and all thy house unto the ark""",Noah
In 1775 he & a group of axmen cleared & marked the Wilderness Road for the Transylvania Company,Daniel Boone
"Bob Dylan asked him to ""Play a song for me, in the jingle jangle morning I'll come followin' you""",Mr. Tambourine Man
A famous 18th century peace was signed at this city once called Ultrajectum,Utrecht
"Reggae man Bob's ""hogs""",Marley's Harleys
In a musical: Mack (Sennett) & this actress,Mabel (Norman)
The USA's biggest private employer is this chain of large discount stores with over 1.3 million employees,Wal-Mart
"In 1282 friars in Palermo on this island were killed if they couldn't say ""Ciciri"" correctly in the local dialect",Sicily
"According to the food pyramid, you should be eating more of the dark green & orange colors of these",vegetables
It's bordered by Kenya to the east & Sudan to the north,Uganda
"On July 15, 2005 this Oriole became just the fourth player to reach 3,000 hits & 500 home runs in a career",(Rafael) Palmeiro
"Chicago, Tampa, San Diego Union-",Tribune
"Hayden Moss, who played baseball at ASU, stole home with $500,000 as the victorious houseguest on this CBS show",Big Brother
"One of Cousteau's dreams was to use this to help power a modern ship; he achieved it with the <a href=""http://www.j-archive.com/media/2010-06-11_J_24.jpg"" target=""_blank"">""Alcyone""</a> & its turbo sail system",wind
"This South American native has been domesticated for more than 4,000 years",Llama
Carson Sink & the Great Salt Lake lie in the drainage area known as the Great this,Basin
The Kwanzaa feast table is decorated with one ear of corn for each of these in the household,children
"Meaning ""conversely"", V.V. is an abbreviation for this Latin phrase",vice versa
"Opera fans said, ""Bravo!"" when ""Master Class"", a play about this diva, debuted in Philadelphia in 1995",Maria Callas
"Hadrian's Wall, the Wailing Wall, the Berlin Wall",the Wailing Wall
"On the small screen, Gomer & Opie lived there",Mayberry
1970: An historically correct re-creation of Pearl Harbor,Tora! Tora! Tora!
"Until the 18th century, European treaties were generally written in this language",Latin
Colonists got their first taste of popcorn at a dinner celebrating this holiday in 1621,Thanksgiving
The pickle on your hamburger was made from this veggie (which is actually a fruit),Cucumber
"On Jan. 23, 1995 he signed the first bill passed by the 104th -- the Congressional Accountability Act",President Bill Clinton
In baseball this player changes his signals to the pitcher when there's a runner on second,Catcher
This service was formed by 6 NYC newspapers in 1848,AP
"There was talk in 1986 about repealing this amendment ratified February 26, 1951",22nd Amendment
"In 1994 the Larry King special ""The UFO Cover-Up?"" broadcast live from this ""area""",Area 51
"Tthis Illinois girl died in 1835; in 1890, she was reburied in Petersburg, Ill. to drum up tourism there",Ann Rutledge
"Tran, Ngo, Dinh",Vietnam
Exit 61B: I may be conservative on the Supreme Court but take me hunting & I shoot liberally,Justice Scalia
"Swift-of-foot critter seen <a href=""http://www.j-archive.com/media/2006-10-02_J_15.jpg"" target=""_blank"">here</a>",a greyhound
"Questionable title of <a href=""http://www.j-archive.com/media/1988-01-15_J_27.mp3"">the following</a> 1972 hit:  <i>""You told me that you didn't love him / And you were going to say goodbye / But if you really didn't mean it / Why did you have to lie?...""</i>","""Where Is The Love"""
"The top 10 fastest fish in the sea include the tiger shark, the sailfish & the bluefin variety of this food fish",the tuna
"Tori Spelling, Shannen Doherty, Jason Priestley","Beverly Hills, 90210"
"Its perigee, the closest it can come to Earth, is 221,456 miles",The moon
"Overcome with emotion, the sheep is unable at the moment to make this customary sound",bleat
"""It's only a game--isn't it?"" is a slogan of this board whose mysterious new version actually glows in the dark",a Ouija board
"The Willamette River runs through Eugene, Oregon; this title Pushkin character is a sort of Russian Don Juan",Eugene Onegin
The administration of drugs was made much easier by this 1853 invention seen here,Hypodermic needle
Only Templar knights wore the distinctive white surcoats emblazoned with this symbol,Red cross
"It's the last name of the family headed by Chevy Chase in the National Lampoon ""Vacation"" films",Griswold
"Theseus: ""Now, fair Hippolyta, our nuptial hour draws on apace""",A Midsummer Night's Dream
"A figure is set on fire as part of this annual event that now draws 25,000 people to the Nevada desert",Burning Man Festival
It took 5 days in 2003 for India to beat Australia in its first test match victory in Australia in this sport in 22 years,cricket
"(<a href=""http://www.j-archive.com/media/2010-12-03_DJ_29.jpg"" target=""_blank"">Hi, I'm Neil Patrick Harris.</a>) In 2004 I played Lee Harvey Oswald, one of the <a href=""http://www.j-archive.com/media/2010-12-03_DJ_29a.jpg"" target=""_blank"">characters</a> in this Stephen Sondheim musical",Assassins
"Not Dayton, Ohio, but Dayton in this state was the site of the Scopes Monkey Trial",Tennessee
Last name of the comic page character seen here,Drabble
He's Georgia's senior senator,Sam Nunn
"At over 36,000 feet, it's the deepest spot in the North Pacific, or anywhere else on Earth",the Marianas Trench
The Flinders Ranges in this country extend about 300 miles from near Port Pirie to near Lake Eyre,Australia
"""The Pine Tree State""",Maine
Pertaining to the lips,labial
In 1995 it became the only U.S.-based express service with direct flights to China,Federal Express
"The Pierides were turned into magpies after they challenged these ""artsy"" sisters to a singing contest & lost",Muses
"The Scrolls were found by a shepherd boy in this year, 2 years after the end of a major war",1947
"During the Boer War, she said, ""We are not interested in the possibilities of defeat; they do not exist""",Queen Victoria
One of Washington State's modes of execution; Nathan Hale & John Brown died that way,Hanging
"This largest nerve in the body arises in the sacral plexus, leaves the pelvis & runs down the thigh",the sciatic
"Many Spanish-language newspapers are named ""La Prensa"", which means this",The Press
"Campbell's picked these, the school colors of Cornell University, for its label",red & white
"""NYPD Blue"" premiered in 1993; 2 years later the other coast got this: ""Life on the Beat""",LAPD
"This scarab relative, often seen at night, is named for the time of year when it's most prevalent",a junebug
It's a 7-letter term for an animal whose coat has patches of 2 or more colors,Piebald
"On July 4, 1776 this head of the army was in New York preparing for a British attack",George Washington
Add cherry brandy & seasonings to melted gruyere cheese & you'll have this classic dipping dish,fondue
The longest race in the Summer Olympics is a walk of 50 of these metric units,kilometers
"""Coningsby, or the New Generation"" is the 1st book in a trilogy he wrote before becoming a Victorian prime minister",Benjamin Disraeli
"In most cud-chewing animals, this is made up of the reticulum, rumen, omasum & abomasum",Stomach
"Coach Red Hickey pioneered this formation, with the quarterback standing well behind the line to take the snap",Shotgun
The parathyroid glands regulate this element essential to bone health,calcium
This grand duchy is actually smaller than the same-named Belgian province it borders,Luxembourg
A large crater on Saturn’s moon Mimas is named for the British astronomer who discovered the moon in 1789,William Herschel
"Born Garry Weinstein in Baku, Azerbaijan in 1963, he ""checks"" in under this name",Kasparov
"The Brahmins are at the top of this hierarchical ""system"" most associated with India",Caste system
In 1997 this 16-year-old Swiss miss became the youngest in the 20th century to win at Wimbledon,Martina Hingis
"In 2000 Mary Tyler Moore & this actress reunited for the TV movie ""Mary and Rhoda""",Valerie Harper
In mythology she's the faithful & patient wife of Odysseus,Penelope
"The name of this piece of direct mail advertising means ""indirect""",Circular
The capital of this grand duchy is the seat of the Court of Justice of the European Communities,Luxembourg
"In a TV movie, the Globetrotters crash-landed on an island where they visited the cast of this '60s sitcom",Gilligan's Island
World Book's photo of Carry Nation shows her with a Bible in one hand & this in the other,Hatchet
"In 1915 film, ""Birth of a Nation"", Joseph Henabery played this president",Abraham Lincoln
"The recapture of Antwerp was a goal of this 1944-45 battle, Germany's last great offensive in the West",Battle of the Bulge
"Ladies wore this headgear that ties under the chin, like the tunnel vision-inducing ""coal scuttle"" type",a bonnet
"In books by Jeff Kinney, Greg Heffley writes the ""Diary of"" this title type of ""Kid""",Wimpy
"Useful in navigation because it's unaffected by magnetism, a gyrocompass points toward this location",North Pole
"In 1864 at Spotsylvania, this Union General vowed ""to fight it out on this line, if it takes all summer""",Ulysses Grant
The written note from a doctor to a pharmacist telling what medicine you need,P-R-E-S-C-R-I-P-T-I-O-N
Charlton Heston played a survivor of an apocalyptic war in this 1971 thriller,Omega Man
The Royal Caroline Institute in Stockholm awards the Nobel Prize in this category,Medicine
"Bill Cosby, Raquel Welch & Harvey Keitel play this title trio in a movie about an ambulance service","Mother, Jugs & Speed"
"A former actor, he made millions penning bestsellers like ""The Osterman Weekend"" & ""The Gemini Contenders""",Robert Ludlum
Alaska's Little Diomede Island is a scant 2 1/2 miles away from this country,Russia
You'll find this geological attraction about 280 miles from Alice Springs,Ayers Rock
"Siebold's is one type of this conifer, unrelated to the poisonous plant",hemlock
This 19th century Philadelphia distiller's name became slang for liquor,Booze
"The SA, Nazi thugs led by Ernst Rohm, were also called storm troopers or these",Brownshirts
"15 indentured servants were aboard this ship when it sailed for the new world, Sept. 16, 1620",The Mayflower
"This mineral comes after No. 9, corundum, on the Mohs scale",Diamond
"It's the German word for rusk, bread that is baked twice to make it crisp",zwieback
Edward Morgan...,E.M. Forster
Peter Paul Rubens & Anthony Van Dyck helped make this city the center of the Flemish school of painting,"Antwerp, Belgium"
"Grolier says this man ""contributed directly to the collapse of the Romanov dynasty shortly after his own death""",Rasputin
"Gonna pop in the video & watch ""Piranha II"", the first full-length directorial effort by this ""Titanic"" director",James Cameron
"Formed to oppose Andrew Jackson, this party's 1st program was Clay's ""American System"" favoring high tariffs",Whigs
"""Senora Peron""","""Evita"""
"(<a href=""http://www.j-archive.com/media/2006-01-06_DJ_28.jpg"" target=""_blank"">Jon of the Clue Crew is in the raft this time.</a>)  A river's flow is measured in CFS, short for this; on the Snake, dangerous high water begins around 30,000",cubic feet per second
"He's the man in ""A Man of Sorrows""'s image",Jesus
A folk tale written down by Joseph Jacobs told of a boy who got a nice aerobic workout climbing this,the beanstalk
"The White Tower in Greece was once called the ""Bloody Tower"" because this empire executed people there",the Ottoman Empire
"With circulation not so ""stellar"", this 129-year-old Washington D.C. paper folded in 1981",The Washington Star
"This author of ""High Fidelity"" has a songbook out in which he discusses his favorite tunes",Nick Hornby
"This adjective meaning ""alien"" might rhyme with orange if you reversed the final ""GN"" & added an E",Foreign
4-letter term for the part of a letter highlighted here: (in the middle),Body
"Depicted here in stone, this Greek was a teacher of Aristotle",Plato
"Mercedes-Benz' ""smart"" cruise control uses this detecting & ranging system to sense vehicles ahead of you",radar
"Like many of his works, this composer's ""Tannhauser"" is based on Germanic legends",(Richard) Wagner
"Nathalia wrote ""The Sunken Garden""; Stephen stayed above ground with ""The Red Badge of Courage""",Crane
The Canary Islands are just about all that's left of this empire that once held much of the Americas,the Spanish Empire
"To join this organization, you have to score in the upper 2% of the general population on an IQ test",Mensa
"In 2007 this annual summit of the world's leading industrialized nations met in Heilegendamm, Germany",G8 (the Group of Eight)
"1997 names for these including Ana, Bill & Claudette, will be used again in 2003",hurricanes
"For his actions in war, Arnold von Winkleried is a hero in this usually neutral country",Switzerland
"Made with cheese & nuts, paskha is a traditional Russian treat for this spring holiday",Easter
"My parties on the theme of this traditional feast are historically authentic, with ti leaves & lauhala mats",luau
"Anna, of ""Anna And The King Of Siam"", was the great aunt of this legendary horror star, on his ""mummy's"" side",Boris Karloff
"In September, 1971, 43 peole were killed during a 4-day riot at this New York prison",Attica
"Except for 1988, he was selected Most Valuable Player of the National Hockey League every year of the 1980s",Wayne Gretzky
"Even with over 70% of this North Sea country's land uninhabitable, it topped the most-livable list",Norway
"This zodiac constellation is dominated by 2 stars; however, one is actually a complex system of at least 6 stars",Gemini
Of the countries of the world,Zimbabwe
"(<a href=""http://www.j-archive.com/media/2008-03-20_DJ_13.jpg"" target=""_blank"">Jimmy of the Clue Crew reports from the Imperial Palace in Vienna.</a>)  Monarchs don't like being cooped up in the same 150 rooms all year, so the Habsburg was only this seasonal palace, like a famous one in St. Petersburg",winter palace
"A reading room at the Lorain Public Library in Ohio is named for this ""Beloved"" prize-winner from 1988",(Toni) Morrison
"Wheat has been cracked, flaked, & thanks to Henry Perky in the 1890s, this",shredded
He was Tennessee's first delegate to the U.S. House of Representatives,(Andrew) Jackson
"Completed in 1856, California's first railroad ran 22 miles between Sacramento & this prison city",Folsom
"In a 1978 hit, Foreigner had this malady, AKA diplopia","""Double Vision"""
"""She might have fooled me, but she didn't fool my mother""",Psycho
An alphabetical list of this empress' lovers might end with Zubov -- but we can't be sure,Catherine the Great
Precedes Tavi in the name of a furry Kipling character,Rikki-Tikki
"In the Air Force, it's the person who flies planes to try them out; there's a school for them at Edwards AFB",a test pilot
"The ""Silver Liberty Bowl"", created by this man born in 1735, is in Boston's Museum of Fine Arts",Paul Revere
"In 1909 he completed his last painting, a canvas called ""Driftwood""",Winslow Homer
"2003: ""...a wealthy family who lost everything and the one son who had no choice but to keep them all together...""",Arrested Development
"""The Producers"" (2001)",Nathan Lane
"President who was known as the ""Schoolmaster in Politics""",Woodrow Wilson
"This French sculptor called his monument to Balzac ""the sum of my whole life""",Rodin
"Yes, my yummy sugar pie, tonight we escape to Nassau, the capital of this country",The Bahamas
"She ""presses"" on: SOLE JAIL NANNY",Allison Janney
"Not exactly the B&O, this type of transportation system runs only 950 yards in Vatican City",train/railroad
"Jacob Lawrence achieved fame with his ""Toussaint L'ouverture Series"" depicting the slave rebellion here",Haiti
"Lorraine Axeman, one of our researchers, was an extra in ""Army of Darkness"", Sam Raimi's 3rd film in this Series",The Evil Dead
A popular dish in Croatia is a veal cutlet concoction named for this capital city,Zagreb
"Try writing one of these funny 5-line poems; here, I'll start it for you--""There was a man from Tibet...",a limerick
Hits like “Tuesday Afternoon” from “Days of Future Passed” hooked this band musically into the Summer of Love,The Moody Blues
"Paré created trusses for patients troubled by this, doing away with an older treatment, castration",hernia
"Used extensively by the Romans, it's a bridge built to transport water, not people",an aqueduct
"No promises: Investment cos. often remind us this alliterative phrase ""is no guarantee of future results""",past performance
"This Durham, N.C. school maintains a primate center which houses endangered species of prosimians",Duke University
"This river's delta covers 13,000 square miles, about 1/4 of Louisiana's area",the Mississippi
"Ray & Dave Davies' boyhood in the Muswell Hill area led to this band's album ""Muswell Hillbillies""",the Kinks
"The Ranger, Pacer, Corsair & Citation were the 4 models of this Ford failure",Edsel
"To keep your refrigerator smelling clean, use baking soda or this barbecue fuel",charcoal
"A Chiquita cocktail combines cointreau, cream & this flavor liqueur",banana
It's landlocked,Belarus
The title of a Sean O'Casey play refers to these symbols on the flag of the Irish Citizen Army,The Plough and the Stars
"This 4-letter term for a sticky, greasy residue was originally the brand name of a degreasing solvent",gunk
A British Columbia city is named for this man who in 1793 surveyed the coast there,Vancouver
"A preacher decides to hide his face forever in ""The Minister's Black Veil"", one of this author's ""Twice-Told Tales""",Nathaniel Hawthorne
"Killer bees from South America threaten the U.S. in this Irwin Allen disaster epic (not ""The Sting"", that's different)",The Swarm
"A unit of cloth measure equal to 2 1/4 inches, or a carpenter's item whose size is measured in pennies",a nail
"A longtime talk show host & short-time ""The View"" co-host, she once played Golde in ""Fiddler on the Roof""",Rosie O'Donnell
"This soup-er company began as a canning & preserves business in Camden, New Jersey in 1869",Campbell's
Geranium is a plant; Germanium is one of these,Element
"A group of 150 male-male pairs, the Sacred Band was an elite fighting unit of this city of Oedipus",Thebes
Tweens can spend hours on this 140-character max website created by a 10-person startup called Obvious,Twitter
"Like ""Rebecca"", her novel ""My Cousin Rachel"" was made into a film",Daphne du Maurier
"He directed a landmark Chinese production of his play ""Death of a Salesman"" at the People's Art Theatre in Beijing",Arthur Miller
"The policies of <a href=""http://www.j-archive.com/media/2011-04-14_DJ_28.wmv"">this</a> conniving Borgia son were so ruthless that Machiavelli cited him as an example of the new prince",Cesare
"""The Quiet American""",Asia
"A teacher could handle this, the moving of earth to form a smooth surface for a roadway",a grader
Pocahontas was married to this man for just 3 years before her death in 1617,John Rolfe
"This Japanese art translated as ""way of harmony of the spirit"" uses opponents' energy against them",aikido
"With 1/3 the troops of his enemy, this American general beat Santa Anna in the 1847 Battle of Buena Vista",(Zachary) Taylor
"This group's over-the-top video for ""I Write Sins Not Tragedies"" won Video of the Year at the 2006 MTV VMAs",Panic! at the Disco
"First name shared by Raj & Rerun's buddy & Ann Romano's superintendent, Schneider",Dwayne
"At the 2000 Republican Convention, this wrestler's role was to introduce House Speaker Dennis Hastert",The Rock
Most air pollution comes from burning these alliterative combustibles that consist of organic remains,fossil fuels
"Cunegonde, Dr. Pangloss, Voltaire",Candide
Creepy Bram Stoker novel about a big pale snake,Lair of the White Worm
TNS,Tunisia
Lesley Ann Warren played Miss Scarlet & Christopher Lloyd was Prof. Plum in this 1985 spoof,Clue
Prussia was Christianized in the 13th century by knights of this order,Teutonic Knights
"If others are unaware of your merits, it might be time to do this to your own horn",toot
"This synonym for ""unadulterated"" or ""chaste"" is a big part of orange juice marketing",pure
"""The Cute Beatle""",Paul McCartney
"For the record, it's what old phonograph records are made of",Vinyl
The czardas is the national dance of this country & Liszt used it as a basis for his rhapsodies,Hungary
Kellogg introduced these toaster pastries in 1964,Pop-Tarts
"Along with cholesterol, watch your level of this substance partly named for its 3 molecules of fatty acids",Triglycerides
"In ""The Sign of Four"" this sleuth employs Toby the dog to track 2 fugitives",Sherlock Holmes
This 1973 honoree joined the Oscar club even though it would have him as a member,Groucho Marx
Since 1970 the number of U.S. men aged 25-34 still living here has increased from 10% to 15%,at home
It's a person who holds the title to a property for the benefit of another person,a trustee
"He wrote his 1982 novel ""The Running Man"" under the pseudonym Richard Bachman",Stephen King
In 1972 this man replaced Thomas Eagleton as George McGovern's running mate,Sargent Shriver
"The work of Kim Philby & ""Harriet"", or to catch sight of suddenly",spy
"In defending British soldiers on trial for this 1770 event, John Adams said, ""Facts are stubborn things""",the Boston Massacre
"As a child, Roman emperor Gaius Julius Caesar Germanicus was nicknamed this, meaning ""little boot""",Caligula
The Farnese statue of this mythic hero leaning on his club was found in the Baths of Caracalla,Hercules
This saint's cross appears on the provincial flag of Nova Scotia,St. Andrew
Mel Blanc supplied the voice of Cosmo Spacely when this cartoon debuted in prime time in 1962,The Jetsons
"""VoIP"" means this type of ""Internet protocol"" to make phone calls over the web",voice
Hadassah was the Hebrew name of this queen for whom an Old Testament book is named,Esther
The C that represents this number in Roman numerals may stand for centum,100
"You could say this Arctic mammal, Odobenus rosmarus, has a Wilford Brimley mustache",the walrus
"Though he was best known for directing musicals, the last film he directed was a drama, ""Star 80""",Bob Fosse
"This 1949 novel features a society dominated by such slogans as ""War is peace, freedom is slavery, ignorance is strength""",1984
"In 1975 Mr. Blackwell called this ""Cuchi Cuchi"" girl ""Carmen Miranda with cleavage""",Charo
"A never-ending supply of this better-than-beer drink was made by Heidrum, oddly a goat, not a bee",mead
