Question,Answer,T1,T2,T3,T4,T5,Correctness
"An homage to Charles Schulz, the project named for this character helps needy kids by ""providing security through blankets""",Linus,yes,yes,yes,yes,yes,1.0
"The ancient Egyptians were a polytheistic people, meaning they had many of these",gods,yes,yes,yes,yes,yes,1.0
Almost a century later you can still use Hector Guimard's entrances to this city's Metro stations,Paris,yes,yes,yes,yes,yes,1.0
This Southern Hemisphere nation was named after a southwestern province of the Netherlands,New Zealand,yes,yes,yes,yes,yes,1.0
"The highest point in this Southeastern state is just 345 feet, in Walton County near the Alabama border",Florida,yes,yes,yes,yes,yes,1.0
"Hamlet's father, the king of Denmark, killed Fortinbras' father, king of this nearby country",Norway,no,no,no,no,no,0.0
"Unlike most provinces, Quebec has a separate one of these, La Surete Provinciale Du Quebec",Provincial/State Police,yes,yes,yes,yes,yes,1.0
"In 1966 Clark & Gollan performed experiments that led to artificial this, probably exciting news to artificial vampires",artificial blood,no,no,no,no,no,0.0
Quixote or Drysdale,a Don,no,no,no,no,no,0.0
"This now-Patriots head coach said in 1992, ""I don't think there's anybody... not focused on the 49ers... I mean, Chargers""",Bill Belichick,yes,yes,yes,yes,yes,1.0
"""Goings on About Town"" & ""The Talk of the Town"" are regular features of this magazine",The New Yorker,yes,yes,yes,yes,yes,1.0
"Name of the cemetery in Tombstone, Arizona & many other towns as well",boot hill,yes,yes,yes,yes,yes,1.0
"State whose counties include Crockett, Zapata & Pecos",Texas,yes,yes,yes,yes,yes,1.0
"Almost all of the state's electrical power is generated by this agency, known for its dams",TVA (Tennessee Valley Authority),yes,yes,yes,yes,yes,1.0
"This ""precious"" first opera in the ""Ring"" cycle runs about 90 minutes shorter than any of the other 3",Das Rheingold,yes,yes,yes,yes,yes,1.0
"Spelled with ""al"" at the end, this word refers to a school official: with ""le"", it's a fundamental truth",principal/principle,yes,yes,yes,yes,yes,1.0
This heavy 19th century sheath knife was named for a Texas frontiersman killed at the Alamo,Bowie knife,yes,yes,yes,yes,yes,1.0
The 1970 cover photo of this man was taken by his wife Linda,Paul McCartney,yes,yes,yes,yes,yes,1.0
This son-in-law of LBJ was the governor of Virginia from 1982-1986,Charles (Chuck) Robb,yes,yes,yes,yes,yes,1.0
"""The noonday train will bring Frank Miller"" at 12 sharp in this 1952 film; look out, Gary!",High Noon,yes,yes,yes,yes,yes,1.0
A WWII German defensive line & Judge Bean,Siegfried & Roy,no,no,no,no,no,0.0
For a Major League baseball it's 9 to 9 1/4 inches,circumference,no,no,no,no,no,0.0
"From 1965: ""Sont les mots qui vont tres bien ensemble""",Michelle,no,no,no,no,no,0.0
"""'Tis incredible to believe how much she loves me.  O the kindest Kate!"" Petruchio says in this play","""The Taming of the Shrew""",yes,yes,yes,yes,yes,1.0
"A long, loose-hanging women's dress worn in Kahaluu & Punaluu",a muumuu,yes,yes,yes,yes,yes,1.0
"In 2002 Spider-Man climbed walls, but it was Willem Dafoe who went over the top as this villain",the Green Goblin,yes,yes,yes,yes,yes,1.0
"John Lennon & Paul McCartney were in their 20s when they wrote ""When I'm"" this old",64,no,no,no,no,no,0.0
This part of a drill that tightens the jaw around the bit has a special key,chuck,no,no,no,no,no,0.0
No state shall engage in this (unless invaded),war,no,no,no,no,no,0.0
"The ancient city of Byblos was known for its production of this material, hence bible, meaning book",papyrus,yes,yes,yes,yes,yes,1.0
"These Nova Scotia games include Celtic workshops & tossing the caber, a 20-foot log",The Highland Games,yes,yes,yes,yes,yes,1.0
"Established in 1929, this political party has won every presidential election since",PRI,no,no,no,no,no,0.0
"An independent agency of the U.S. government, it's also called Eximbank",Export/Import Bank,yes,yes,yes,yes,yes,1.0
"Governor of California from 1949 to 1953 & a Supreme Court Chief Justice, we confer on him the title of....",Earl Warren,yes,yes,yes,yes,yes,1.0
This distinctive aroma of a wine can also mean a group of cut flowers,Bouquet,yes,yes,yes,yes,yes,1.0
"Meaning ""another self"", it can refer to a close friend or one's secret identity",Alter Ego,yes,yes,yes,yes,yes,1.0
A panel of 5 children answered questions sent in by home viewers & won savings bonds on this show,Quiz Kids,yes,yes,yes,yes,yes,1.0
"Considered evil in the Middle Ages, many cats were killed, which may have led to this scourge",the Black Death,yes,yes,yes,yes,yes,1.0
"His 1911 painting ""I and the Village"" uses the simple shapes of Russian folk art",Chagall,yes,yes,yes,yes,yes,1.0
"""To Let"" was the last novel in this John Galsworthy series","""The Forsyte Saga""",no,no,no,no,no,0.0
"If you're thinking of the 2nd largest city in Colorado, this one should spring to mind",Colorado Springs,yes,yes,yes,yes,yes,1.0
1997 is the millennium of this saint's becoming the supreme Magyar prince of Hungary,Stephen,no,no,no,no,no,0.0
Tom Hanks voiced 4 characters in this Christmas film that used motion-capture technology,The Polar Express,yes,yes,yes,yes,yes,1.0
"By a cumulative count, you get a total of 364 gifts in this song, including 42 swans","""The 12 Days of Christmas""",no,no,no,no,no,0.0
"In an email that surfaced after her murder, she said if anything happened to her, Pres. Musharraf was responsible",Benazir Bhutto,yes,yes,yes,yes,yes,1.0
"On July 12, 1998 this Cardinal hit HR No. 40 in his 281st at-bat of the season -- the fewest ever needed to reach that total",Mark McGwire,yes,yes,yes,yes,yes,1.0
"Have a hangtown fry, traditionally, eggs, bacon & these shellfish--a pearl of a dish!",oysters,yes,yes,yes,yes,yes,1.0
"Like root beer, this ""ale"" is flavored with a root, mostly from Jamaica",ginger ale,no,no,no,no,no,0.0
Women's rights leader: ____ Cady ____,Elizabeth Cady Stanton,yes,yes,yes,yes,yes,1.0
"Rick Springfield, Bruce Springsteen, Buffalo Springfield",Rick Springfield,no,no,no,no,no,0.0
"Pavonine means of or resembling this ""proud"" bird",a peacock,yes,yes,yes,yes,yes,1.0
"First, a toast, my sweet, with a glass of this potent potable whose invention is credited to Dom Perignon",champagne,yes,yes,yes,yes,yes,1.0
"When this London residence is freezing, we'd like to return it to the dukes for whom it's named",Buckingham Palace,yes,yes,yes,yes,yes,1.0
"Forces of this European nation conquered Algiers in 1830, ending its use as a stronghold by pirates",France,yes,yes,yes,yes,yes,1.0
"""You furnish the pictures & I'll furnish the war""",William Randolph Hearst,yes,yes,yes,yes,yes,1.0
Philadelphia pharmicist Charles Hires commercialized this type of soda in the mid-1800s,root beer,yes,yes,yes,yes,yes,1.0
"""The Moonstone"" author William Collins",Wilkie,no,no,no,no,no,0.0
"Helicobacter pylori has special defenses against this acid, which allow it to live in the stomach & cause ulcers",hydrochloric acid,yes,yes,yes,yes,yes,1.0
"Cotto, Genoa, Pepperoni",salami,no,no,no,no,no,0.0
"Rah, rah, sis boom bah!  It's the term for the globular flowers of a chrysanthemum",a pom-pom,no,no,no,no,no,0.0
"After a 10-year absence, this series returned in 1997 with Stacy Keach reprising the title role",Mike Hammer,yes,yes,yes,yes,yes,1.0
Ekanetra & Ekarudra were both Vidyesvara gods of this religion,Hinduism,yes,yes,yes,yes,yes,1.0
By 1880 both Edison & British physicist Joseph Wilson Swan had applied for patents on this type of electric lamp,an incandescent light bulb,yes,yes,yes,yes,yes,1.0
"This paper was shut down in 1991 by Boris Yeltsin, but there have been recent incarnations",Pravda,no,no,no,no,no,0.0
"Pirates officially licensed to attack enemy ships during wartime were known by this ""secretive"" name",Privateers,yes,yes,yes,yes,yes,1.0
"Moments after Macbeth claims he can't be killed by any man born of woman, this thane of Fife performs the deed",Macduff,yes,yes,yes,yes,yes,1.0
A cricket's receptors for this are highly sensitive areas on its front legs,hearing,yes,yes,yes,yes,yes,1.0
"The Refugee Project, helping underprivileged children, is at the heart of this female former Fugee",Lauryn Hill,yes,yes,yes,yes,yes,1.0
"His story ""The Outcasts of Poker Flat"" appeared in 1869 in the Overland Monthly, which he edited",Bret Harte,yes,yes,yes,yes,yes,1.0
It's customary to toast these soft confections on sticks over a campfire,Marshmallows,yes,yes,yes,yes,yes,1.0
"Seen here, he was president when Georgia became independent, but was then deposed",Zviad Gamsakhurdia,yes,yes,yes,yes,yes,1.0
"In 2006 Sterling Marlin, a veteran racer on this circuit, got a new ride, the no. 14 Chevrolet",NASCAR,yes,yes,yes,yes,yes,1.0
"It's the ""F"" in the common web acronym ""FAQ""",frequently,yes,yes,yes,yes,yes,1.0
Dr. Clanny's lamp of 1813 was designed so these workers wouldn't ignite gases & blow themselves up,miners,yes,yes,yes,yes,yes,1.0
"Paul Tulane gave a substantial endowment to a school in this city, and it was renamed in his honor",New Orleans,yes,yes,yes,yes,yes,1.0
Eid ul-Fitr marks the end of this month of fasting,Ramadan,yes,yes,yes,yes,yes,1.0
"The Liberty Bell was hidden in this Pennsylvania ""town"" in 1777",Allentown,yes,yes,yes,yes,yes,1.0
"In later life, Renoir's hands became so crippled with arthritis, these had to be tied to them",his brushes,no,no,no,no,no,0.0
French gave us this word for a set of tuned bells in a tower,a carillon,yes,yes,yes,yes,yes,1.0
"As a verb, this means to squander or waste; in the bakery, it's a deep-fried cake",fritter,yes,yes,yes,yes,yes,1.0
"For a time, Cervantes supported himself by finding provisions for this Spanish fleet",Spanish Armada,no,no,no,no,no,0.0
"This host of ""Boy Meets Grill"" says charcoal is a lot of work but it gives food a smokiness that gas can't imitate",Bobby Flay,yes,yes,yes,yes,yes,1.0
Leon Beiderbecke,"""Bix""",no,no,no,no,no,0.0
In the North Atlantic:  CLND,Iceland,yes,yes,yes,yes,yes,1.0
"In ""Cool Hand Luke"", he's the character actor who says ""What we've got here is failure to communicate""",Strother Martin,yes,yes,yes,yes,yes,1.0
"The Tasman & Hooker Glaciers radiate from Mt. Cook, the highest mountain of the Southern Alps in this country",New Zealand,yes,yes,yes,yes,yes,1.0
The emotional strain I feel until you ring in with the correct response,Tension,yes,yes,yes,yes,yes,1.0
"One of the world's oldest mummies, the Detmold Child was mummified in this high S. Amer. country 3,000 years before Tut",Peru,yes,yes,yes,yes,yes,1.0
The Maccabees fought a guerrilla war to keep the Syrians out of this city,Jerusalem,yes,yes,yes,yes,yes,1.0
"Girton, Cambridge University's 1st college for these people, was founded in 1869",women,yes,yes,yes,yes,yes,1.0
"An entirely female unit, the Mariana Grajales Women's Platoon, helped win this country's 1956-58 socialist revolution",Cuba,no,no,no,no,no,0.0
The title character on this NBC drama works for the Massachusetts State Coroner's Office,Crossing Jordan,yes,yes,yes,yes,yes,1.0
"Around 1507 this Polish astronomer began trying to prove that the sun, not earth, was the center of the universe",Copernicus,yes,yes,yes,yes,yes,1.0
"Any ""birdbrain"" knows these are the small compartments for papers in a desk",Pigeonholes,no,no,no,no,no,0.0
"Phonetically, it sounds like 2 letters of the alphabet",envy,no,no,no,no,no,0.0
It's the second-largest body of water in the world,Atlantic Ocean,yes,yes,yes,yes,yes,1.0
"John Dalton figured that in water, an atom of this was 8 times heavier than an atom of hydrogen",oxygen,no,no,no,no,no,0.0
In November 1910 he was elected governor of New Jersey; 2 years later he was elected president,Woodrow Wilson,yes,yes,yes,yes,yes,1.0
"In a book by Irene Hunt, 9-year-old Jethro Creighton lives during the Civil War, which lasts ""Across Five"" of these months",Aprils,no,no,no,no,no,0.0
"At the start of the game Diplomacy, France controls 3 supply centers: Paris, Brest & this port",Marseille,yes,yes,yes,yes,yes,1.0
"We're shocked to hear that some car dealerships have been known to ""roll back"" this device",the odometer,yes,yes,yes,yes,yes,1.0
The only newspaper not in the continental U.S. to make the Top 100 is this city's Advertiser at No. 79,Honolulu,yes,yes,yes,yes,yes,1.0
"During World War II, the Japanese repeatedly bombed this city on Australia's northern coast",Darwin,no,no,no,no,no,0.0
"""Once a jolly swagman camped by"" this, Australian for a stagnant pool or backwater",billabong,yes,yes,yes,yes,yes,1.0
"1966: ""...and Mr. Chicken""",The Ghost,no,no,no,no,no,0.0
"From old Italian for ""to shield"" & ""sun"", it's another name for a sun umbrella",parasol,yes,yes,yes,yes,yes,1.0
"She went to the baker's to buy her dog some bread; ""when she came back the poor dog was dead""",Old Mother Hubbard,no,no,no,no,no,0.0
2-word anatomical term for a craving for candy,a sweet tooth,yes,yes,yes,yes,yes,1.0
"Roy Rogers sang ""Buttons and Bows"" with Bob Hope & Jane Russell in this sequel to ""The Paleface""",Son of Paleface,yes,yes,yes,yes,yes,1.0
Wed in 1953: Jackjacq,the Kennedys,no,no,no,no,no,0.0
Originally this term referred to the man employed on a cattle train who prodded cattle to keep them on their feet,a cowpoke,yes,yes,yes,yes,yes,1.0
"This woman of Troy shows up in several operas, including ""Mefistofele""",Helen,yes,yes,yes,yes,yes,1.0
In 1998 Pope John Paul II concluded his visit to this country with a mass at the Plaza de la Revolucion,Cuba,yes,yes,yes,yes,yes,1.0
"This country has Bataan Day & People Power Day, commemorating the 1986 revolt",the Philippines,yes,yes,yes,yes,yes,1.0
"His artworks command prices of $400,000, & he was Oscar-nominated for directing ""The Diving Bell and the Butterfly""",(Julian) Schnabel,yes,yes,yes,yes,yes,1.0
"This czar may have been ""great"", but biographer Robert K. Massie says he was deathly afraid of cockroaches",Peter the Great,yes,yes,yes,yes,yes,1.0
In 1402 Ottoman Sultan Bayezid I was captured in the Battle of Ankara by this conqueror from Samarkand,Tamerlane,yes,yes,yes,yes,yes,1.0
"Rome, Dublin, Athens",Georgia,no,no,no,no,no,0.0
"""Culprit"", meaning the guilty party, evolved from this adjective meaning ""guilty""",culpable,yes,yes,yes,yes,yes,1.0
"This polo-playing Harvard grad played Loretta Lynn's husband in ""Coal Miner's Daughter""",Tommy Lee Jones,yes,yes,yes,yes,yes,1.0
Bermuda is a self-governing dependency of this nation,the United Kingdom,yes,yes,yes,yes,yes,1.0
"Jeff Spicoli loved to surf in this movie'-aloha, Mr. Hand!",Fast Times at Ridgemont High,yes,yes,yes,yes,yes,1.0
"As a verb, it refers to the motion propelling the boat; as a noun, it refers to the person who sets the pace",stroke,no,no,no,no,no,0.0
"1992: ""My _____ Vinny""",Cousin,no,no,no,no,no,0.0
It's the spirit found in a daiquiri cocktail,rum,yes,yes,yes,yes,yes,1.0
"Albion House in the town of Marlow is the place where she finished writing ""Frankenstein""",Mary Shelley,yes,yes,yes,yes,yes,1.0
"To target online consumers, this company hopes to combine data from its ESPN & ABC online units",Disney,no,no,no,no,no,0.0
"From the Latin for ""make similar"", it's an exact duplicate",facsimile,yes,yes,yes,yes,yes,1.0
"Congress established this National Park in Arizona February 26, 1919",the Grand Canyon,yes,yes,yes,yes,yes,1.0
"The Captain & Tennile would ""love"" this capital of Oman",Muscat,yes,yes,yes,yes,yes,1.0
Alumnus,alumni,yes,yes,yes,yes,yes,1.0
Acting instructor for an aspiring household pest,a roach coach,no,no,no,no,no,0.0
Jennifer Connelly won an Oscar for playing the wife of this man,(John) Nash,yes,yes,yes,yes,yes,1.0
"When asked if he has any writers, this piano-playing comic says, ""Yes, I have 535 writers.  100 in the Senate & 435 in the House…""",(Mark) Russell,no,no,no,no,no,0.0
"In Luke, he is quoted as saying, ""I indeed baptize you with water; but one mightier than I cometh""",John the Baptist,yes,yes,yes,yes,yes,1.0
"This highest social class, whose name still refers to aristocracy, once made up the entire Senate",Patricians,yes,yes,yes,yes,yes,1.0
"Epistemophobia would be bad news for a Jeopardy! contestant, as it's fear of this",knowledge,yes,yes,yes,yes,yes,1.0
"This ""Candide"" author helped popularize the saying, ""The perfect is the enemy of the good""",Voltaire,yes,yes,yes,yes,yes,1.0
"This redhead does some down-home storytelling in her 1999 book ""Comfort From A Country Quilt""",Reba McEntire,yes,yes,yes,yes,yes,1.0
He returned to India at age 17 in 1882 & worked as a journalist; he published his first poems in 1886,Rudyard Kipling,yes,yes,yes,yes,yes,1.0
A device known as a rectifier makes this electrical conversion,from AC to DC,yes,yes,yes,yes,yes,1.0
"The Latin name of this great philosophical work by St. Augustine is ""De Civitate Dei""",City of God,yes,yes,yes,yes,yes,1.0
"This Irish film director based ""The Crying Game"" on one of his own short stories",Neil Jordan,yes,yes,yes,yes,yes,1.0
"""Game of Shadows"" is a 2006 book about this man who is second on the all-time home run list",(Barry) Bonds,yes,yes,yes,yes,yes,1.0
"Known scientifically as felis pardalis, there are only about 100 of these cats left in Texas",ocelot,no,no,no,no,no,0.0
(Sarah of the Clue Crew)  Health regulations often call for some restaurant employees to wear these on their heads,hairnets,yes,yes,yes,yes,yes,1.0
"This French sauce made with butter, egg yolks & lemon juice is named for another country",Hollandaise sauce,no,no,no,no,no,0.0
The CIA's main rival for much of its existence was this Soviet counterpart,KGB,yes,yes,yes,yes,yes,1.0
"He wrote of the law of the jungle, ""The wolf that shall keep it may prosper, but the wolf that shall break it must die""",Rudyard Kipling,yes,yes,yes,yes,yes,1.0
"Your employer sends you this, the most common income-reporting tax statement in the United States",W-2,yes,yes,yes,yes,yes,1.0
"This Detroit paper has a 2-word name, a guarantee of the First Amendment",the Free Press,yes,yes,yes,yes,yes,1.0
"9 years before arriving at the Mississippi River, he met the Incan ruler Atahualpa in Peru",Hernando de Soto,no,no,no,no,no,0.0
"The Latin Grammys' first Record of the Year went to ""Corazon Espinado"", by this man's band Mana",Carlos Santana,no,no,no,no,no,0.0
"This letter appears on the costumes of superheroes named Storm, Cyclops, Jubilee & Wolverine","X (as in ""X-Men"")",yes,yes,yes,yes,yes,1.0
"This 1993 hit by UB40 remained in the Top 40 for 23 weeks, almost twice as long as Elvis Presley's 1961 version",Can't Help Falling in Love,yes,yes,yes,yes,yes,1.0
Loved the Gown Gallery--an exhibit about the First Ladies--in this Smithsonian museum,the Museum of American History,yes,yes,yes,yes,yes,1.0
"The jersey seen here was worn during the 1961 season by this slugger who led the majors with 126 walks (New York Yankees, No. 7)",Mickey Mantle,yes,yes,yes,yes,yes,1.0
"As a verb, this first name means to send mail free of charge",Frank,no,no,no,no,no,0.0
Playmobil toys were introduced by this country's Geobra Brandstatter in 1974,(West) Germany,yes,yes,yes,yes,yes,1.0
"A competition for fishermen, knights or ""Jeopardy!"" contestants",Tournament,yes,yes,yes,yes,yes,1.0
A Nittany Lion could tell you this city is home to Penn State's main campus,State College,yes,yes,yes,yes,yes,1.0
"""Psycho""",Norman Bates,yes,yes,yes,yes,yes,1.0
In 1815 he had Congress authorize fighting with Algiers,(James) Madison,no,no,no,no,no,0.0
"""They Call the Wind Maria"" is a song from this musical",Paint Your Wagon,no,no,no,no,no,0.0
His 9th hurdle --  Hippolyta's girdle,Hercules,no,no,no,no,no,0.0
"After his wife Rachel died, his niece took over her duties; after she died, a daughter-in-law was summoned",Andrew Jackson,no,no,no,no,no,0.0
Just one Boston baked veggie,Bean,no,no,no,no,no,0.0
"Hello, this character who said, ""I'll tell you a little secret about zip codes--they're meaningless""",Newman,no,no,no,no,no,0.0
Wilt Chamberlain & this '60s Celtic are the only NBAers to average more than 20 rebounds per game,Bill Russell,yes,yes,yes,yes,yes,1.0
The 4th Gospel of the New Testament,John,no,no,no,no,no,0.0
From 1815 to 1821 the Farmhouse of Longwood on the island of St. Helena was this exile's home,Napoleon Bonaparte,yes,yes,yes,yes,yes,1.0
"It's the main city in Ohio's 14th district, once a rubber center & now called ""Polymer Valley""",Akron,yes,yes,yes,yes,yes,1.0
"Sort of like the Peace Corps, only local: VISTA",Volunteers in Service to America,yes,yes,yes,yes,yes,1.0
"When reading, keep your mind out of this depression between the pages",Gutter,no,no,no,no,no,0.0
"Winning in 1965 & 1966, he was the first man to win the Masters golf tournament in 2 consecutive years",Jack Nicklaus,yes,yes,yes,yes,yes,1.0
This co-star of “Nash Bridges” returned in “The Lion King 1½” as the voice of Bonzai the hyena,Cheech Marin,yes,yes,yes,yes,yes,1.0
"Broncos:  51,475 yards  (1983-1998)",(John) Elway,yes,yes,yes,yes,yes,1.0
"""Ransom"" reunited her with her ""Lethal Weapon 3"" co-star Mel Gibson",Rene Russo,yes,yes,yes,yes,yes,1.0
"As Landon Donovan knows, using hands is a no-no for the majority of the players",soccer,yes,yes,yes,yes,yes,1.0
The 2 main foods of the aardvark are ants & these mound insects,termites,yes,yes,yes,yes,yes,1.0
"It was all the rage & on the charts in 1975; so ""Do"" it!","the ""Hustle""",no,no,no,no,no,0.0
"The classic ""Problem of the Many"" is this in the sky: which droplets are part of it, & where does it start & end?",a cloud,no,no,no,no,no,0.0
"In 1998 a San Antonio, Texas school was named in honor of this first woman on the Supreme Court",Sandra Day O'Connor,yes,yes,yes,yes,yes,1.0
Tennessee,Memphis,yes,yes,yes,yes,yes,1.0
"Appropriately, this grandmother of American folk art painted ""Over the River to Grandma's House""",Grandma Moses,yes,yes,yes,yes,yes,1.0
"Surrounded by Italy, this small country on Mt. Titano was once under the protection of the papacy",San Marino,yes,yes,yes,yes,yes,1.0
"Surrealist painter who had pop & country hits with ""Here You Come Again"" & ""9 To 5""",Salvador Dali (Dolly) Parton,no,no,no,no,no,0.0
"John Steinbeck traveled across America in a 1962 bestseller, ""Travels With"" this title poodle",Charley,no,no,no,no,no,0.0
He had a good year in 1928; construction began on the NYC art deco building named for him & he acquired Dodge,Walter Chrysler,yes,yes,yes,yes,yes,1.0
"Nelson ""Old Poison"" Stewart, Stan Mikita, Wayne Gretzky",centermen,no,no,no,no,no,0.0
"""Goodnight, Seattle""",Frasier,no,no,no,no,no,0.0
"This ""Old Ironsides"" poet was also a doctor.  You might recall that his son became a lawyer",(Oliver Wendell) Holmes,yes,yes,yes,yes,yes,1.0
"In this 1994 film, St. Nick falls off a roof & Tim Allen is forced to take his place",The Santa Clause,yes,yes,yes,yes,yes,1.0
"An early resident was the countess of Lichfield, the daughter of this 17th century king who returned from exile",Charles II,yes,yes,yes,yes,yes,1.0
Trademark name for a laminated heat-resistant plastic used for counter tops & flooring,Formica,yes,yes,yes,yes,yes,1.0
"To trek through its Khumbu Icefall, Lhotse Face & South Col, your team needs a $70,000 permit from Nepal's government",Mount Everest,yes,yes,yes,yes,yes,1.0
The battle took place in the northern part of this state,Virginia,yes,yes,yes,yes,yes,1.0
"It's ""The Capital of the Empire State"" & ""The Edinburgh of America""",Albany,yes,yes,yes,yes,yes,1.0
"It joins with ""zooks!"" as a mild or ironic oath",Gad,no,no,no,no,no,0.0
One of his last paintings before his 1903 death in the South Pacific was a landscape of Brittany in winter,Gauguin,no,no,no,no,no,0.0
"From the Latin for ""to heal"", it's the type of education that brings deficient students up to standard levels",remedial,yes,yes,yes,yes,yes,1.0
"The ""home of golf"", it's also home to Scotland's oldest university",St. Andrews,yes,yes,yes,yes,yes,1.0
"This all-time leader in hits & games placed was a regular at first, second & third",Pete Rose,yes,yes,yes,yes,yes,1.0
"This Pakistani leader agreed to an arranged marriage, but kept her maiden name",Benazir Bhutto,yes,yes,yes,yes,yes,1.0
Literary term meaning to show or indicate earlier in the story,foreshadow,yes,yes,yes,yes,yes,1.0
"Traditionally used to make Thanksgiving pies, this gourd is rich in vitamin A",a pumpkin,yes,yes,yes,yes,yes,1.0
"James Meredith, the first black student at the University of this state, was shot & wounded there in June 1966",Mississippi,yes,yes,yes,yes,yes,1.0
"Arriving at the hospital on March 30, 1981, he told one of his doctors, ""I hope you're a Republican""",Ronald Reagan,yes,yes,yes,yes,yes,1.0
"In the old saw, it precedes ""Half a dozen of the other""",6 of 1,yes,yes,yes,yes,yes,1.0
"A letter from Einstein to FDR is on display at the Bradbury Science Museum in this city, birthplace of the atomic bomb",Los Alamos,yes,yes,yes,yes,yes,1.0
"According to the proverb, it's what a ""stitch in time"" does",saves nine,no,no,no,no,no,0.0
This Copenhagen-based beer brand became purveyors to the Royal Danish Court in 1904,Carlsberg,yes,yes,yes,yes,yes,1.0
"Daffy Duck, a fox from Disney in 1973 & Kevin Costner have all played this role from folklore",Robin Hood,no,no,no,no,no,0.0
You were a fool to move that bishop!  This 4-letter term in 3 moves,mate,no,no,no,no,no,0.0
"Dan Marino, Brett Favre & this Denver Bronco are the only NFL quarterbacks to pass for more than 50,000 yards",John Elway,yes,yes,yes,yes,yes,1.0
"Galilee, Samaria & Judea in the south were the 3 traditional divisions of this ancient area with a still-current name",Palestine,yes,yes,yes,yes,yes,1.0
"Some local TV news goes by the sensation-loving motto ""If it"" does this, ""it leads""",bleeds,no,no,no,no,no,0.0
"""Firth"" is a synonym for this broad mouth of a river into which the tide flows",estuary,yes,yes,yes,yes,yes,1.0
The 150th anniversary of this 1849 California event was honored on a 1999 U.S. stamp,the Gold Rush,yes,yes,yes,yes,yes,1.0
"With 20, this ""Bear"" of a golfer is the all-time leader in major tournament wins",Jack Nicklaus,yes,yes,yes,yes,yes,1.0
"Ferdinand & Isabella promised to make him ""Admiral of the Ocean Sea"" if he was successful in his 1492 voyage",Christopher Columbus,yes,yes,yes,yes,yes,1.0
"In 2001 this Oscar winner sang ""Angelina"", a romantic tribute to his fifth wife, on his album ""Private Radio""",Billy Bob Thornton,yes,yes,yes,yes,yes,1.0
"You don't have to be an oracle to know that this oracle is pivotal to the plot of ""Ion""",the Delphic Oracle,no,no,no,no,no,0.0
"Between 1656 & 1735 members of the Albanian Koprulu family served the sultan as this ""grand"" executive officer",(grand) vizier,yes,yes,yes,yes,yes,1.0
"This author used some of his plots for a proposed late '50s Bond TV series in his book ""For Your Eyes Only""",Ian Fleming,yes,yes,yes,yes,yes,1.0
In this series dimwitted sheriff Roscoe P. Coltrane was Boss Hogg's brother-in-law,The Dukes of Hazzard,yes,yes,yes,yes,yes,1.0
This Egyptian crime boss is wanted in connection with ordering the death of all male Jewish children,Pharaoh,no,no,no,no,no,0.0
"To visit Abraham Lincoln's birthplace, you have to go to this U.S. state",Kentucky,yes,yes,yes,yes,yes,1.0
"In the prologue of a 1952 novel, this author wrote, ""I am an invisible man""",(Ralph) Ellison,yes,yes,yes,yes,yes,1.0
In the '90s you were a glutton for punishment if you rooted for this Ohio NFL team that went 52-108,the (Cincinnati) Bengals,yes,yes,yes,yes,yes,1.0
"This song by Christina Aguilera says, ""You are"" this, ""no matter what they say"" & ""in every single way""",beautiful,no,no,no,no,no,0.0
"Last name of siblings Laverne, Maxine & Patti, who sang ""Bei Mir Bist du Schoen"" in 1937",the Andrews Sisters,yes,yes,yes,yes,yes,1.0
"If you did this to someone's ""goose"", you spoiled his plans",Cooked It,no,no,no,no,no,0.0
"Alaska's Resurrection Bay was named by Alexander Baranof, who first sailed into it on this holiday",Easter,no,no,no,no,no,0.0
Wiggle your toe if you know this man who won the Best Actor Oscar for 1989,Daniel Day-Lewis,yes,yes,yes,yes,yes,1.0
"He not only won the NL home run title with 65, he now ranks tenth on the all-time career home run list",Mark McGwire,yes,yes,yes,yes,yes,1.0
"In ""Le Morte d'Arthur"", a gathering of knights saw a vision of this",the (Holy) Grail,yes,yes,yes,yes,yes,1.0
"It's also known as sonography, baby",ultrasound,yes,yes,yes,yes,yes,1.0
Species of this insect include ctenocephalides canis & ctenocephalides felis,Flea,yes,yes,yes,yes,yes,1.0
"Later the host of ""The Tonight Show"", this man began his TV career at Omaha's WOW-TV",Johnny Carson,yes,yes,yes,yes,yes,1.0
"Just hours before Michael Jackson's death, Hollywood lost this TV ""Angel""",Farrah Fawcett,yes,yes,yes,yes,yes,1.0
"It's said that his singing & lyre-playing ""drew iron tears down Pluto's cheek""",Orpheus,yes,yes,yes,yes,yes,1.0
This winged horse carried thunderbolts for Zeus,Pegasus,yes,yes,yes,yes,yes,1.0
This president appointed more Supreme Court justices than any other,George Washington,yes,yes,yes,yes,yes,1.0
Real-lfe spouse Amy Madigan didn't play Ed Harris' wife Lee Krasner in this movie; she played Peggy Guggenheim,Pollock,no,no,no,no,no,0.0
"New Jersey's Dave Meenan covered more than 28 miles this way in 1997--beat that, Bojangles!",tap dancing,no,no,no,no,no,0.0
"Viaticum, confession & anointing of the sick are part of this Roman Catholic procedure",Last rites,yes,yes,yes,yes,yes,1.0
LEFT RIB,filbert,no,no,no,no,no,0.0
It's the C of BMOC,campus,no,no,no,no,no,0.0
Martha Reeves & the Vandellas provided backing vocals on this singer's 1963 hit heard here:,Marvin Gaye,no,no,no,no,no,0.0
