Question,Answer_model,Answer_ref,model_answer
"Have a hangtown fry, traditionally, eggs, bacon & these shellfish--a pearl of a dish!",Oysters,oysters,True
"Like root beer, this ""ale"" is flavored with a root, mostly from Jamaica",Ginger,ginger ale,True
Women's rights leader: ____ Cady ____,ERA (Emma) (Julia),Elizabeth Cady Stanton,False
"Rick Springfield, Bruce Springsteen, Buffalo Springfield",Springfields,Rick Springfield,False
"Pavonine means of or resembling this ""proud"" bird",Peacock,a peacock,True
"First, a toast, my sweet, with a glass of this potent potable whose invention is credited to Dom Perignon",WINE,champagne,False
"When this London residence is freezing, we'd like to return it to the dukes for whom it's named",Kensington,Buckingham Palace,False
"Forces of this European nation conquered Algiers in 1830, ending its use as a stronghold by pirates",France,France,True
"""You furnish the pictures & I'll furnish the war""",Propaganda,William Randolph Hearst,False
Philadelphia pharmicist Charles Hires commercialized this type of soda in the mid-1800s,Root Beer,root beer,True
"""The Moonstone"" author William Collins",Collins,Wilkie,False
"Helicobacter pylori has special defenses against this acid, which allow it to live in the stomach & cause ulcers",Mucin,hydrochloric acid,False
"Cotto, Genoa, Pepperoni",Italy,salami,False
"Rah, rah, sis boom bah!  It's the term for the globular flowers of a chrysanthemum",CHRYSANTHEMUM,a pom-pom,False
"After a 10-year absence, this series returned in 1997 with Stacy Keach reprising the title role",LONESTAR,Mike Hammer,False
Ekanetra & Ekarudra were both Vidyesvara gods of this religion,Hinduism,Hinduism,True
By 1880 both Edison & British physicist Joseph Wilson Swan had applied for patents on this type of electric lamp,Incandescent,an incandescent light bulb,True
"This paper was shut down in 1991 by Boris Yeltsin, but there have been recent incarnations","Gazeta (Russian for ""Newspaper"")",Pravda,False
"Pirates officially licensed to attack enemy ships during wartime were known by this ""secretive"" name",Privateers,Privateers,True
"Moments after Macbeth claims he can't be killed by any man born of woman, this thane of Fife performs the deed",Macduff,Macduff,True
A cricket's receptors for this are highly sensitive areas on its front legs,TACTILE,hearing,False
"The Refugee Project, helping underprivileged children, is at the heart of this female former Fugee",Oprah,Lauryn Hill,False
"His story ""The Outcasts of Poker Flat"" appeared in 1869 in the Overland Monthly, which he edited",Bret <Harte>,Bret Harte,True
It's customary to toast these soft confections on sticks over a campfire,Marshmallows,Marshmallows,True
"Seen here, he was president when Georgia became independent, but was then deposed",Demetre I,Zviad Gamsakhurdia,False
"In 2006 Sterling Marlin, a veteran racer on this circuit, got a new ride, the no. 14 Chevrolet",NASCAR,NASCAR,True
"It's the ""F"" in the common web acronym ""FAQ""",FAQ: AWNSERS,frequently,False
Dr. Clanny's lamp of 1813 was designed so these workers wouldn't ignite gases & blow themselves up,Miners,miners,True
"Paul Tulane gave a substantial endowment to a school in this city, and it was renamed in his honor",New Orleans,New Orleans,True
Eid ul-Fitr marks the end of this month of fasting,RAMADAN,Ramadan,True
"The Liberty Bell was hidden in this Pennsylvania ""town"" in 1777",Allentown,Allentown,True
"In later life, Renoir's hands became so crippled with arthritis, these had to be tied to them",Palettes,his brushes,False
French gave us this word for a set of tuned bells in a tower,Carillon,a carillon,True
"As a verb, this means to squander or waste; in the bakery, it's a deep-fried cake",WASTE,fritter,False
"For a time, Cervantes supported himself by finding provisions for this Spanish fleet",Armadas,Spanish Armada,False
"This host of ""Boy Meets Grill"" says charcoal is a lot of work but it gives food a smokiness that gas can't imitate",Alton,Bobby Flay,False
Leon Beiderbecke,Dixieland,"""Bix""",False
In the North Atlantic:  CLND,Iceland,Iceland,True
"In ""Cool Hand Luke"", he's the character actor who says ""What we've got here is failure to communicate""",Strother.,Strother Martin,True
"The Tasman & Hooker Glaciers radiate from Mt. Cook, the highest mountain of the Southern Alps in this country",New Zealand,New Zealand,True
The emotional strain I feel until you ring in with the correct response,ANSWER,Tension,False
"One of the world's oldest mummies, the Detmold Child was mummified in this high S. Amer. country 3,000 years before Tut",Chile,Peru,False
The Maccabees fought a guerrilla war to keep the Syrians out of this city,Jerusalem,Jerusalem,True
"Girton, Cambridge University's 1st college for these people, was founded in 1869",Women,women,True
"An entirely female unit, the Mariana Grajales Women's Platoon, helped win this country's 1956-58 socialist revolution",Cuba,Cuba,True
The title character on this NBC drama works for the Massachusetts State Coroner's Office,House,Crossing Jordan,False
"Around 1507 this Polish astronomer began trying to prove that the sun, not earth, was the center of the universe",Copernicus,Copernicus,True
"Any ""birdbrain"" knows these are the small compartments for papers in a desk",Drawers,Pigeonholes,False
"Phonetically, it sounds like 2 letters of the alphabet",,envy,False
It's the second-largest body of water in the world,Oceans,Atlantic Ocean,False
"John Dalton figured that in water, an atom of this was 8 times heavier than an atom of hydrogen",Oxygen,oxygen,True
In November 1910 he was elected governor of New Jersey; 2 years later he was elected president,Wilson,Woodrow Wilson,True
"In a book by Irene Hunt, 9-year-old Jethro Creighton lives during the Civil War, which lasts ""Across Five"" of these months",Years,Aprils,False
"At the start of the game Diplomacy, France controls 3 supply centers: Paris, Brest & this port",Nantes,Marseille,False
"We're shocked to hear that some car dealerships have been known to ""roll back"" this device",Odometers,the odometer,False
The only newspaper not in the continental U.S. to make the Top 100 is this city's Advertiser at No. 79,HONOLULU,Honolulu,True
"During World War II, the Japanese repeatedly bombed this city on Australia's northern coast",Darwin,Darwin,True
"""Once a jolly swagman camped by"" this, Australian for a stagnant pool or backwater",Billabong,billabong,True
"1966: ""...and Mr. Chicken""",Rooster,The Ghost,False
"From old Italian for ""to shield"" & ""sun"", it's another name for a sun umbrella",Solare.,parasol,False
"She went to the baker's to buy her dog some bread; ""when she came back the poor dog was dead""",LOAF,Old Mother Hubbard,False
2-word anatomical term for a craving for candy,SUGAR LOBES,a sweet tooth,False
"Roy Rogers sang ""Buttons and Bows"" with Bob Hope & Jane Russell in this sequel to ""The Paleface""",Son of Paleface,Son of Paleface,True
Wed in 1953: Jackjacq,_Ethel_,the Kennedys,False
Originally this term referred to the man employed on a cattle train who prodded cattle to keep them on their feet,RAILYARD_HAND,a cowpoke,False
"This woman of Troy shows up in several operas, including ""Mefistofele""",Helena>,Helen,False
In 1998 Pope John Paul II concluded his visit to this country with a mass at the Plaza de la Revolucion,Cuba,Cuba,True
"This country has Bataan Day & People Power Day, commemorating the 1986 revolt",Philippines,the Philippines,True
"His artworks command prices of $400,000, & he was Oscar-nominated for directing ""The Diving Bell and the Butterfly""",AWENSEN - Julian,(Julian) Schnabel,False
"This czar may have been ""great"", but biographer Robert K. Massie says he was deathly afraid of cockroaches",Peter I,Peter the Great,False
In 1402 Ottoman Sultan Bayezid I was captured in the Battle of Ankara by this conqueror from Samarkand,Tamerlane,Tamerlane,True
"Rome, Dublin, Athens",Cities,Georgia,False
"""Culprit"", meaning the guilty party, evolved from this adjective meaning ""guilty""","Answer: ""Answerable""",culpable,False
"This polo-playing Harvard grad played Loretta Lynn's husband in ""Coal Miner's Daughter""",Tommy.,Tommy Lee Jones,True
Bermuda is a self-governing dependency of this nation,United Kingdom,the United Kingdom,True
"Jeff Spicoli loved to surf in this movie'-aloha, Mr. Hand!",FastTimes,Fast Times at Ridgemont High,True
"As a verb, it refers to the motion propelling the boat; as a noun, it refers to the person who sets the pace",ROW,stroke,False
"1992: ""My _____ Vinny""",Moonstruck,Cousin,False
It's the spirit found in a daiquiri cocktail,RUM,rum,True
"Albion House in the town of Marlow is the place where she finished writing ""Frankenstein""",Shelley,Mary Shelley,True
"To target online consumers, this company hopes to combine data from its ESPN & ABC online units",Google,Disney,False
"From the Latin for ""make similar"", it's an exact duplicate",RESemblance,facsimile,False
"Congress established this National Park in Arizona February 26, 1919",Grand Canyon,the Grand Canyon,True
"The Captain & Tennile would ""love"" this capital of Oman",Muscat,Muscat,True
Alumnus,Student,alumni,False
Acting instructor for an aspiring household pest,STANISLAVSKY,a roach coach,False
Jennifer Connelly won an Oscar for playing the wife of this man,HUSSEIN,(John) Nash,False
"When asked if he has any writers, this piano-playing comic says, ""Yes, I have 535 writers.  100 in the Senate & 435 in the House…""",,(Mark) Russell,False
"In Luke, he is quoted as saying, ""I indeed baptize you with water; but one mightier than I cometh""",John,John the Baptist,True
"This highest social class, whose name still refers to aristocracy, once made up the entire Senate",Aristocrats,Patricians,False
"Epistemophobia would be bad news for a Jeopardy! contestant, as it's fear of this",Knowledge,knowledge,True
"This ""Candide"" author helped popularize the saying, ""The perfect is the enemy of the good""",Voltaire,Voltaire,True
"This redhead does some down-home storytelling in her 1999 book ""Comfort From A Country Quilt""",ANSWER: Patricia,Reba McEntire,False
He returned to India at age 17 in 1882 & worked as a journalist; he published his first poems in 1886,Answer: Tagore,Rudyard Kipling,False
A device known as a rectifier makes this electrical conversion,DC,from AC to DC,True
"The Latin name of this great philosophical work by St. Augustine is ""De Civitate Dei""","""City of God"".",City of God,True
"This Irish film director based ""The Crying Game"" on one of his own short stories",O. Lelio,Neil Jordan,False
"""Game of Shadows"" is a 2006 book about this man who is second on the all-time home run list",Bonds,(Barry) Bonds,True
"Known scientifically as felis pardalis, there are only about 100 of these cats left in Texas",LEOPARD,ocelot,False
(Sarah of the Clue Crew)  Health regulations often call for some restaurant employees to wear these on their heads,Caps,hairnets,False
"This French sauce made with butter, egg yolks & lemon juice is named for another country",Hollandaise,Hollandaise sauce,True
The CIA's main rival for much of its existence was this Soviet counterpart,KGB,KGB,True
"He wrote of the law of the jungle, ""The wolf that shall keep it may prosper, but the wolf that shall break it must die""",Kipling,Rudyard Kipling,True
"Your employer sends you this, the most common income-reporting tax statement in the United States",,W-2,False
"This Detroit paper has a 2-word name, a guarantee of the First Amendment",FREE,the Free Press,True
"9 years before arriving at the Mississippi River, he met the Incan ruler Atahualpa in Peru",CORTEZ,Hernando de Soto,False
"The Latin Grammys' first Record of the Year went to ""Corazon Espinado"", by this man's band Mana",,Carlos Santana,False
"This letter appears on the costumes of superheroes named Storm, Cyclops, Jubilee & Wolverine",X-MEN,"X (as in ""X-Men"")",True
"This 1993 hit by UB40 remained in the Top 40 for 23 weeks, almost twice as long as Elvis Presley's 1961 version",Can'tHelpFallingInLove,Can't Help Falling in Love,True
Loved the Gown Gallery--an exhibit about the First Ladies--in this Smithsonian museum,National Museum of American History,the Museum of American History,False
"The jersey seen here was worn during the 1961 season by this slugger who led the majors with 126 walks (New York Yankees, No. 7)",AWNSER,Mickey Mantle,False
"As a verb, this first name means to send mail free of charge",Mail,Frank,False
Playmobil toys were introduced by this country's Geobra Brandstatter in 1974,Germany,(West) Germany,True
"A competition for fishermen, knights or ""Jeopardy!"" contestants",Tournaments,Tournament,False
A Nittany Lion could tell you this city is home to Penn State's main campus,STATECOLLEGE,State College,True
"""Psycho""",Hitchcock,Norman Bates,False
In 1815 he had Congress authorize fighting with Algiers,Jefferson,(James) Madison,False
"""They Call the Wind Maria"" is a song from this musical",OKLAHOMA,Paint Your Wagon,False
His 9th hurdle --  Hippolyta's girdle,Theseus,Hercules,False
"After his wife Rachel died, his niece took over her duties; after she died, a daughter-in-law was summoned",Rebekah,Andrew Jackson,False
Just one Boston baked veggie,PLANTS,Bean,False
"Hello, this character who said, ""I'll tell you a little secret about zip codes--they're meaningless""",FORREST,Newman,False
Wilt Chamberlain & this '60s Celtic are the only NBAers to average more than 20 rebounds per game,HAVLICEK,Bill Russell,False
The 4th Gospel of the New Testament,JOHN,John,True
From 1815 to 1821 the Farmhouse of Longwood on the island of St. Helena was this exile's home,Napoleon,Napoleon Bonaparte,True
"It's the main city in Ohio's 14th district, once a rubber center & now called ""Polymer Valley""",Answer: Columbus,Akron,False
"Sort of like the Peace Corps, only local: VISTA",LOCAL. VOLUNTEERS,Volunteers in Service to America,False
"When reading, keep your mind out of this depression between the pages",MARGIN,Gutter,False
"Winning in 1965 & 1966, he was the first man to win the Masters golf tournament in 2 consecutive years",AWNSER: Arnold,Jack Nicklaus,False
This co-star of “Nash Bridges” returned in “The Lion King 1½” as the voice of Bonzai the hyena,Tom,Cheech Marin,False
"Broncos:  51,475 yards  (1983-1998)",John Elway,(John) Elway,True
"""Ransom"" reunited her with her ""Lethal Weapon 3"" co-star Mel Gibson",Renee,Rene Russo,False
"As Landon Donovan knows, using hands is a no-no for the majority of the players",Offside,soccer,False
The 2 main foods of the aardvark are ants & these mound insects,Termites,termites,True
"It was all the rage & on the charts in 1975; so ""Do"" it!",Disco.,"the ""Hustle""",False
"The classic ""Problem of the Many"" is this in the sky: which droplets are part of it, & where does it start & end?",Clouds. Atmosphere.,a cloud,False
"In 1998 a San Antonio, Texas school was named in honor of this first woman on the Supreme Court",RUTHBADGINS,Sandra Day O'Connor,False
Tennessee,ANSWER: Memphis,Memphis,False
Tennessee,ANSWER: Memphis,Bill Frist,False
Tennessee,ANSWER: Memphis,North Carolina,False
"Appropriately, this grandmother of American folk art painted ""Over the River to Grandma's House""",Grandma_Moses,Grandma Moses,True
"Surrounded by Italy, this small country on Mt. Titano was once under the protection of the papacy",Vatican,San Marino,False
"Surrealist painter who had pop & country hits with ""Here You Come Again"" & ""9 To 5""",Dolly,Salvador Dali (Dolly) Parton,True
"John Steinbeck traveled across America in a 1962 bestseller, ""Travels With"" this title poodle","""CHARLIE"".",Charley,False
He had a good year in 1928; construction began on the NYC art deco building named for him & he acquired Dodge,,Walter Chrysler,False
"Nelson ""Old Poison"" Stewart, Stan Mikita, Wayne Gretzky",GRETZKY,centermen,False
"""Goodnight, Seattle""",Farewell.,Frasier,False
"This ""Old Ironsides"" poet was also a doctor.  You might recall that his son became a lawyer",Paul.,(Oliver Wendell) Holmes,False
"In this 1994 film, St. Nick falls off a roof & Tim Allen is forced to take his place",AWNSER: SantaClaus,The Santa Clause,False
"An early resident was the countess of Lichfield, the daughter of this 17th century king who returned from exile",CharlesI,Charles II,True
Trademark name for a laminated heat-resistant plastic used for counter tops & flooring,Corian,Formica,False
"To trek through its Khumbu Icefall, Lhotse Face & South Col, your team needs a $70,000 permit from Nepal's government",Mount Everest,Mount Everest,True
The battle took place in the northern part of this state,Wisconsin,Virginia,False
"It's ""The Capital of the Empire State"" & ""The Edinburgh of America""",Albany,Albany,True
"It joins with ""zooks!"" as a mild or ironic oath",Gee,Gad,False
One of his last paintings before his 1903 death in the South Pacific was a landscape of Brittany in winter,Bretagne,Gauguin,False
"From the Latin for ""to heal"", it's the type of education that brings deficient students up to standard levels",CURE,remedial,False
"The ""home of golf"", it's also home to Scotland's oldest university",St Andrews,St. Andrews,True
"This all-time leader in hits & games placed was a regular at first, second & third",ABREU,Pete Rose,False
"This Pakistani leader agreed to an arranged marriage, but kept her maiden name",Benazir,Benazir Bhutto,True
Literary term meaning to show or indicate earlier in the story,Flashback,foreshadow,False
"Traditionally used to make Thanksgiving pies, this gourd is rich in vitamin A",Pumpkin,a pumpkin,True
"James Meredith, the first black student at the University of this state, was shot & wounded there in June 1966",MISSISSIPPI,Mississippi,True
"Arriving at the hospital on March 30, 1981, he told one of his doctors, ""I hope you're a Republican""",Reagan,Ronald Reagan,True
"In the old saw, it precedes ""Half a dozen of the other""",ANSWERS,6 of 1,False
"A letter from Einstein to FDR is on display at the Bradbury Science Museum in this city, birthplace of the atomic bomb",Los_Alamos,Los Alamos,True
"According to the proverb, it's what a ""stitch in time"" does",Saves.,saves nine,True
This Copenhagen-based beer brand became purveyors to the Royal Danish Court in 1904,Carlsberg,Carlsberg,True
"Daffy Duck, a fox from Disney in 1973 & Kevin Costner have all played this role from folklore",Answer: Robin Hood,Robin Hood,False
You were a fool to move that bishop!  This 4-letter term in 3 moves,CHECK,mate,False
"Dan Marino, Brett Favre & this Denver Bronco are the only NFL quarterbacks to pass for more than 50,000 yards",Peyton Manning,John Elway,False
"Galilee, Samaria & Judea in the south were the 3 traditional divisions of this ancient area with a still-current name",Answer: Israel,Palestine,False
"Some local TV news goes by the sensation-loving motto ""If it"" does this, ""it leads""",Bleeds. LEADS,bleeds,False
"""Firth"" is a synonym for this broad mouth of a river into which the tide flows",Estuary,estuary,True
The 150th anniversary of this 1849 California event was honored on a 1999 U.S. stamp,th. GoldenGate.,the Gold Rush,False
"With 20, this ""Bear"" of a golfer is the all-time leader in major tournament wins",JACKLee,Jack Nicklaus,False
"Ferdinand & Isabella promised to make him ""Admiral of the Ocean Sea"" if he was successful in his 1492 voyage",Columbus,Christopher Columbus,True
"In 2001 this Oscar winner sang ""Angelina"", a romantic tribute to his fifth wife, on his album ""Private Radio""",KIDROCK,Billy Bob Thornton,False
"You don't have to be an oracle to know that this oracle is pivotal to the plot of ""Ion""",Apollo,the Delphic Oracle,False
"Between 1656 & 1735 members of the Albanian Koprulu family served the sultan as this ""grand"" executive officer",Grand Vizier,(grand) vizier,True
"This author used some of his plots for a proposed late '50s Bond TV series in his book ""For Your Eyes Only""",Ian,Ian Fleming,True
In this series dimwitted sheriff Roscoe P. Coltrane was Boss Hogg's brother-in-law,Dunderdale,The Dukes of Hazzard,False
This Egyptian crime boss is wanted in connection with ordering the death of all male Jewish children,HITLER,Pharaoh,False
"To visit Abraham Lincoln's birthplace, you have to go to this U.S. state",Kentucky,Kentucky,True
"In the prologue of a 1952 novel, this author wrote, ""I am an invisible man""",Ellison.,(Ralph) Ellison,True
In the '90s you were a glutton for punishment if you rooted for this Ohio NFL team that went 52-108,Browns,the (Cincinnati) Bengals,False
"This song by Christina Aguilera says, ""You are"" this, ""no matter what they say"" & ""in every single way""",Beautiful,beautiful,True
"Last name of siblings Laverne, Maxine & Patti, who sang ""Bei Mir Bist du Schoen"" in 1937",COX,the Andrews Sisters,False
"If you did this to someone's ""goose"", you spoiled his plans",Sabotage,Cooked It,False
"Alaska's Resurrection Bay was named by Alexander Baranof, who first sailed into it on this holiday",Easter. (Alexander Baranov first sailed into Resurrection Bay on Easter.),Easter,False
Wiggle your toe if you know this man who won the Best Actor Oscar for 1989,DANIEL,Daniel Day-Lewis,True
"He not only won the NL home run title with 65, he now ranks tenth on the all-time career home run list",McGwire,Mark McGwire,True
"In ""Le Morte d'Arthur"", a gathering of knights saw a vision of this",RoundTable,the (Holy) Grail,False
"It's also known as sonography, baby",Ultrasound,ultrasound,True
Species of this insect include ctenocephalides canis & ctenocephalides felis,FLEAS,Flea,False
"Later the host of ""The Tonight Show"", this man began his TV career at Omaha's WOW-TV",Carson,Johnny Carson,True
"Just hours before Michael Jackson's death, Hollywood lost this TV ""Angel""",Farrah,Farrah Fawcett,True
"It's said that his singing & lyre-playing ""drew iron tears down Pluto's cheek""",Orpheus,Orpheus,True
This winged horse carried thunderbolts for Zeus,PEGASUS,Pegasus,True
This president appointed more Supreme Court justices than any other,EIGHT,George Washington,False
Real-lfe spouse Amy Madigan didn't play Ed Harris' wife Lee Krasner in this movie; she played Peggy Guggenheim,Pollock,Pollock,True
"New Jersey's Dave Meenan covered more than 28 miles this way in 1997--beat that, Bojangles!",,tap dancing,False
"Viaticum, confession & anointing of the sick are part of this Roman Catholic procedure",Last Rites,Last rites,True
LEFT RIB,th,filbert,False
It's the C of BMOC,JSON,campus,False
Martha Reeves & the Vandellas provided backing vocals on this singer's 1963 hit heard here:,Heat Wave,Marvin Gaye,False
"(Hi, I'm Kevin Garnett)  My high school was named after this man for whom the rank of full admiral was created in 1866",Farragut,David Farragut,True
"The Little White Schoolhouse in this Wisconsin city claims to be the ""Birthplace of the Republican Party""",Racine,Ripon,False
"Wait a minute!  14 years after the Marvelettes, the Carpenters topped the charts with this song",Yesterday Once More,"""Please Mr. Postman""",False
"Inspired by a conversation with a blacksmith, Nicholas Evans made himself heard with this 1995 bestseller",The Horse Whisperer,The Horse Whisperer,True
"These 2 Greek letters begin the name ""Christ"" in Greek & are used to represent him",Alpha. Omega.,chi and rho,False
"Late charismatic scholar seen on a PBS series in 1988 conversing with Bill Moyers on ""The Power Of Myth""",JOSEPH,Joseph Campbell,True
Sebastian Melma was the name used by this Irish playwright while in exile,Yeats,Oscar Wilde,False
This state's spaceport risks encroaching on the habitat of the Mojave Desert tortoise,Nevada,California,False
President Martin Torrijos Espino,Espino,Panama,False
"There are 4 species of these dangerous African snakes: 1 black, 3 green",Mambas,the mamba,False
"Dickens novel containing the line ""It is a far, far better thing that I do, that I have ever done""",Redemption.,"""A Tale of Two Cities""",False
Aaron's mongrel dogs,AWOOGLES,Burr's curs,False
"The Chinese government, which controls all of these in the U.S., won't let a new one be named until it's 100 days old",Consulates,giant pandas,False
"John Adams said that a ""Useless man is called a disgrace, that 2 are called a law firm, & 3 or more become"" this body",Congress,Congress,True
Pea soup was a staple in the ships of this navy that beat the French & Spanish at Trafalgar,British,the British navy,True
The wheel lock mechanism later used in lighters was invented around 1500 to ignite the powder in these,Matchlock,guns,False
"This 20th century school of design & art movement comes from the German words for ""build"" & ""house""",Bauhaus,Bauhaus,True
"4-word completion of the proverb ""Curses, like chickens...""",Come.,come home to roost,True
The main character of one his major works is Humphrey Chimpden Earwicker,Ulysses,James Joyce,False
"It follows ""A penny for a spool of thread, a penny for a needle, that's the way the money goes...""",THREAD,"""Pop Goes the Weasel""",False
"In 1960 the FDA approved production of Enovid, the 1st of these",Pill,Birth Control Pills,True
"He was the first African American on a U.S. coin; the reverse of his half dollar read, ""from slave cabin to hall of fame""",Barack,Booker T. Washington,False
"President of North Vietnam for 24 years, his mausoleum in Hanoi is a national shrine",Answer: Ho.,Ho Chi Minh,False
"""Did my father strike my gentleman for chiding of his fool?"" is one of Goneril's lines in this play",Shakespeare,King Lear,False
"John Watson, a medical doctor",B. SHERLOCK,Sherlock Holmes,False
"This VCR brand's name came from the Latin for ""great voice""",Sony,Magnavox,False
"One on the run, ""F is for...""","F"" - ""Fugitive",Fugitive,False
"Known as ""The Hero of Two Worlds"", this revolutionary seen here led military campaigns in Brazil & Italy",Galvani,Giuseppe Garibaldi,False
"In 1978 this South African shot a final-round 64 to win the green jacket, & the Masters, by one stroke",AWNSER = Nicklaus,Gary Player,False
Mr. Vicious' children,Pups,Sid's kids,False
"This actor ""moonlighted"" in 1987: he won an Emmy for playing a P.I. & his ""The Return of Bruno"" yielded a top 5 hit",Cosby,Bruce Willis,False
This big bouffant Broadway show became a 2007 film starring a big bouffant John Travolta,Hairspray,Hairspray,True
"This family ""Invents New Diet:  Only Eat Fat Or Lean""",Atkins,Jack Sprat & his wife,False
On screen he's been hard-boiled cop Dirty Harry,Clint,Clint Eastwood,True
"In California, February 6, 2004 was proclaimed this president's ""Day"" in honor of his 93rd birthday",Ronald Reagan,Ronald Reagan,True
A reprise is an attack done in fencing after a brief return to this position,Parry,en garde,False
This city some 30 miles west of Dallas began as an army post on the Trinity River,FortWorth,Fort Worth,True
"Mimic this gastropod's ""pace"" when walking to school & you may get there by sixth period",Snail,snail,True
Dendroid means shaped like a tree; dentiform means shaped like this,Tree-like: DENDROID,a tooth,False
In June 1989 this Missouri congressman succeeded Thomas Foley as Majority Leader in the House,Richard,(Richard) Gephardt,True
"This grain that was cheaper than wheat was used to feed cattle & in the loaves that fed 5,000",Barley,Barley,True
"This companion island to Trinidad has its own airport, Crown Point International",AWNSER (Tobago),Tobago,False
"In 1909 Henry Ford produced over 10,000 of this car, saying customers could get it in ""any color...so long as it is black""",Model T,the Model T,True
"Robin leads Beast Boy, Cyborg & the rest of this superhero group on Cartoon Network",Teen Titans,Teen Titans,True
It's the room between the ceiling joists & the roof rafters where you keep crazy Aunt Meredith,Attic,the attic,True
An M.S. in M.E. is a Master of Science in this kind of engineering,Electrical,mechanical,False
"This controversial Bonbay-born Brit is the author of ""Midnight's Children"" & of the cake slogan ""Naughty but nice""",RUSHDIE,Salman Rushdie,True
"Fabric that does not ""bleed"" when washed or worn is said to be this",PREWASHED,colorfast,False
Brenda & Dylan's spring dance rendezvous was a highlight of this series' first season,Kelbyville,"Beverly Hills, 90210",False
The life & career of this female senator from Maine is on display at a library in Skowhegan,Margaret,Margaret Chase Smith,True
"Officially, it's a kingdom",United Kingdom,Jordan,False
In 1971 the Lyndon Johnson Library at this school became the first presidential library on a college campus,University of Texas,University of Texas,True
"At Illinois senator Simon's funeral, former Senator Alan Dixon was listed in the program as one of these",EULOGIST,a pallbearer,False
This daughter of Nixon married Edward Cox at the White House in 1971,TRUMPY,Tricia,False
Some Moscow-set movie scenes have been filmed in this Finnish capital,Helsinki,Helsinki,True
"Forgotten for centuries, this royal retreat of Incan kings was rediscovered by Hiram Bingham in July",Machu Picchu,Machu Picchu,True
"""Tom Jones"" (1963)",Itchycoo Park,Albert Finney,False
"Divided into 2 parts by the Rond-Point, it stretches 1.17 miles through Paris",CHAMPS-ÉLYSÉES,the Champs-Élysées,True
"This wanderer in the West spread the word on Swedenborgism, as well as his famous fruit trees",Apple,Johnny Appleseed,True
In 1981 Budget Dir. Stockman's criticism of the Reagan administration was published in this monthly,Op-Ed,The Atlantic Monthly,False
"Isaiah said that the Lord shall gather the dispersed ""from"" these ""of the Earth""",Israel,the four corners,False
"Novel that says, ""Eliza made her desperate retreat across the river just in the dusk of twilight""",Huckleberry Finn,Uncle Tom's Cabin,False
In June 2002 they became the first sisters to be ranked No. 1 & 2 in tennis at the same time,Serena,Venus & Serena Williams,True
19 letters: A book full of facts plus a doctor for kids,Encyclopedia + Pediatrician = PEDIATRIC ENCYCLOPEDIA,encyclopediatrician,False
His wife Florence consulted an astrologer who said that he'd win the presidency but die in office,LINCOLN,Warren G. Harding,False
"In Act 1 of this play, Happy complains to Biff about their father's driving",Death,Death Of A Salesman,True
Richard Bachman,Stephen,Stephen King,True
"Fearing their vengeful wrath, the Greeks called them Eumenides, which means ""The Kindly Ones""",Revenges,Furies,False
The USA's first domed sports stadium opened in this city in 1965,Houston,Houston,True
It's the animal that's most closely related to humans,Homo,chimpanzee,False
"Its ensemble cast included Kevin Kline, Glenn Close & William Hurt",Triumph of the Heart,The Big Chill,False
The Last Drop Tavern was named for its proximity to the spot where public hangings took place in this Scottish capital,Edinburgh,Edinburgh,True
"Most of the Greek Isles are in this sea, an arm of the Mediterranean",Aegean,the Aegean Sea,True
John Le Carre popularized the name of this burrowing mammal to mean a spy in enemy ranks,Mole,Mole,True
"In arresting members of the Mahdaviyat group, this country claimed it had thwarted a plot to kill Khatami",Iran,Iran,True
In 1964 this legendary couple of the stage became the first husband & wife awarded the Medal of Freedom,"Barbara"" and ""Joshua",Alfred Lunt & Lynn Fontanne,False
"Chapter 1 of this book is called ""Lucy Looks into a Wardrobe""","The Lion, the Witch and the Wardrobe","""The Lion, the Witch & the Wardrobe""",False
Traditionally you make a Caesar salad with this type of lettuce,Romaine,Romaine,True
The city of Tuscaloosa in this state is named for a Choctaw leader who fought Hernando de Soto in 1540,Alabama,Alabama,True
"JFK's 1962 State of the Union Address eulogized this Congressional legend known as ""Mr. Sam""",AWNSER. Rayburn,Rayburn,False
It's the proud banner seen here,ANSWERS,Union Jack,False
"The arrangement of words in feet in each of a poem's lines; the ""Iliad""'s is dactylic",Meter.,meter,True
Kyle Chandler is the coach of a small-town high school football team on this critically acclaimed TV show,FridayNightLights,Friday Night Lights,True
"In February the U.N. voted to send 7,000 peacekeepers to this southern African nation",DRC (Democratic Republic of Congo),Angola,False
"A high recognition factor prompted Lever Bros. to bring back the ""Ta-ta-ta-da"" ad for this",s,Imperial Margarine,False
A Yokozuna is an athlete who has reaced the highest rank in this sport,Sumo,sumo wrestling,True
"Though much of Leviticus is ritual, chapter 19 has the sweeping ""Thou shalt love"" this person ""as thyself""",Neighbor.,Thy neighbor,True
The California types of these are Mexican-Guatemalan hybrids & include the Hass,Avocados,avocados,True
Classic Bette Davis movie chronicling the life of the TV star who played Jan Brady,Misfits,All About Eve Plumb,False
"This Finn's only opera, ""The Maiden in the Tower"", had a libretto in Swedish",SIBELIUS,Sibelius,True
"It's the country where you'll find Cape Nordkyn, the northernmost point on the European mainland",Norway,Norway,True
"Natty Bumppo discovers there's ""The Penultimate Iroquois"" in this man's 1820s sequel",Last of the Mohicans.,James Fenimore Cooper,False
